Best Val Accuracy: 0.8443,Epoch: 6

epoch,accuracy,loss,val_accuracy,val_loss
1,0.619071364402771,0.6642207503318787,0.7445109486579895,0.5940219759941101
2,0.7259111404418945,0.5388509035110474,0.8123752474784851,0.44243568181991577
3,0.781328022480011,0.4677637815475464,0.8283433318138123,0.40782737731933594
4,0.8072890639305115,0.43372371792793274,0.8183632493019104,0.3813905715942383
5,0.8252621293067932,0.41106802225112915,0.8223552703857422,0.399565726518631
6,0.8302546143531799,0.3896239697933197,0.8443113565444946,0.3782047629356384
7,0.8437343835830688,0.372317910194397,0.832335352897644,0.3723112940788269
8,0.8527209162712097,0.35475704073905945,0.8403193354606628,0.3701491057872772
9,0.8572141528129578,0.3510828912258148,0.8423153758049011,0.37269237637519836
10,0.8567149043083191,0.3458212912082672,0.8423153758049011,0.3674662113189697
